===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
1     Seoul                          South Korea                                   Eastern Asia                   Asia            9981619     
2     Jakarta                        Indonesia                                     Southeast Asia                 Asia            9604900     
3     Ciudad de México               Mexico                                        Central America                North America   8591309     
4     Moscow                         Russian Federation                            Eastern Europe                 Europe          8389200     
5     Tokyo                          Japan                                         Eastern Asia                   Asia            7980230     
6     Peking                         China                                         Eastern Asia                   Asia            7472000     
7     London                         United Kingdom                                British Islands                Europe          7285000     
8     Cairo                          Egypt                                         Northern Africa                Africa          6789479     
9     Teheran                        Iran                                          Southern and Central Asia      Asia            6758845     
10    Lima                           Peru                                          South America                  South America   6464693     
11    Bangkok                        Thailand                                      Southeast Asia                 Asia            6320174     
12    Santafé de Bogotá              Colombia                                      South America                  South America   6260862     
13    Kinshasa                       Congo, The Democratic Republic of the         Central Africa                 Africa          5064000     
14    Santiago de Chile              Chile                                         South America                  South America   4703954     
15    Baghdad                        Iraq                                          Middle East                    Asia            4336000     
16    Singapore                      Singapore                                     Southeast Asia                 Asia            4017733     
17    Dhaka                          Bangladesh                                    Southern and Central Asia      Asia            3612850     
18    Berlin                         Germany                                       Western Europe                 Europe          3386667     
19    Rangoon (Yangon)               Myanmar                                       Southeast Asia                 Asia            3361700     
20    Riyadh                         Saudi Arabia                                  Middle East                    Asia            3324000     
21    Ankara                         Turkey                                        Middle East                    Asia            3038159     
22    Buenos Aires                   Argentina                                     South America                  South America   2982146     
23    Madrid                         Spain                                         Southern Europe                Europe          2879052     
24    Roma                           Italy                                         Southern Europe                Europe          2643581     
25    Taipei                         Taiwan                                        Eastern Asia                   Asia            2641312     
26    Kyiv                           Ukraine                                       Eastern Europe                 Europe          2624000     
27    Addis Abeba                    Ethiopia                                      Eastern Africa                 Africa          2495000     
28    Pyongyang                      North Korea                                   Eastern Asia                   Asia            2484000     
29    Nairobi                        Kenya                                         Eastern Africa                 Africa          2290000     
30    La Habana                      Cuba                                          Caribbean                      North America   2256000     
31    Alger                          Algeria                                       Northern Africa                Africa          2168000     
32    Paris                          France                                        Western Europe                 Europe          2125246     
33    Toskent                        Uzbekistan                                    Southern and Central Asia      Asia            2117500     
34    Luanda                         Angola                                        Central Africa                 Africa          2022000     
35    Bucuresti                      Romania                                       Eastern Europe                 Europe          2016131     
36    Caracas                        Venezuela                                     South America                  South America   1975294     
37    Brasília                       Brazil                                        South America                  South America   1969868     
38    Budapest                       Hungary                                       Eastern Europe                 Europe          1811552     
39    Bakı                           Azerbaijan                                    Middle East                    Asia            1787800     
40    Kabul                          Afghanistan                                   Southern and Central Asia      Asia            1780000     
41    Tripoli                        Libyan Arab Jamahiriya                        Northern Africa                Africa          1682000     
42    Minsk                          Belarus                                       Eastern Europe                 Europe          1674000     
43    Warszawa                       Poland                                        Eastern Europe                 Europe          1615369     
44    Santo Domingo de Guzmán        Dominican Republic                            Caribbean                      North America   1609966     
45    Wien                           Austria                                       Western Europe                 Europe          1608144     
46    Manila                         Philippines                                   Southeast Asia                 Asia            1581082     
47    Quito                          Ecuador                                       South America                  South America   1573458     
48    Harare                         Zimbabwe                                      Eastern Africa                 Africa          1410000     
49    Hanoi                          Vietnam                                       Southeast Asia                 Asia            1410000     
50    Yaoundé                        Cameroon                                      Central Africa                 Africa          1372800     

===== No 18 Capital City by Continent Population Report =====
ID    City                      Country                                  District             Region                         Continent       Population
1     Seoul                     South Korea                              Seoul                Eastern Asia                   Asia            9981619   
2     Jakarta                   Indonesia                                Jakarta Raya         Southeast Asia                 Asia            9604900   
3     Tokyo                     Japan                                    Tokyo-to             Eastern Asia                   Asia            7980230   
4     Peking                    China                                    Peking               Eastern Asia                   Asia            7472000   
5     Teheran                   Iran                                     Teheran              Southern and Central Asia      Asia            6758845   
6     Bangkok                   Thailand                                 Bangkok              Southeast Asia                 Asia            6320174   
7     Baghdad                   Iraq                                     Baghdad              Middle East                    Asia            4336000   
8     Singapore                 Singapore                                –                    Southeast Asia                 Asia            4017733   
9     Dhaka                     Bangladesh                               Dhaka                Southern and Central Asia      Asia            3612850   
10    Rangoon (Yangon)          Myanmar                                  Rangoon [Yangon]     Southeast Asia                 Asia            3361700   
11    Riyadh                    Saudi Arabia                             Riyadh               Middle East                    Asia            3324000   
12    Ankara                    Turkey                                   Ankara               Middle East                    Asia            3038159   
13    Taipei                    Taiwan                                   Taipei               Eastern Asia                   Asia            2641312   
14    Pyongyang                 North Korea                              Pyongyang-si         Eastern Asia                   Asia            2484000   
15    Toskent                   Uzbekistan                               Toskent Shahri       Southern and Central Asia      Asia            2117500   
16    Bakı                      Azerbaijan                               Bakı                 Middle East                    Asia            1787800   
17    Kabul                     Afghanistan                              Kabol                Southern and Central Asia      Asia            1780000   
18    Manila                    Philippines                              National Capital Reg Southeast Asia                 Asia            1581082   
19    Hanoi                     Vietnam                                  Hanoi                Southeast Asia                 Asia            1410000   
20    Damascus                  Syria                                    Damascus             Middle East                    Asia            1347000   
21    Victoria                  Hong Kong                                Hongkong             Eastern Asia                   Asia            1312637   
22    Kuala Lumpur              Malaysia                                 Wilayah Persekutuan  Southeast Asia                 Asia            1297526   
23    Yerevan                   Armenia                                  Yerevan              Middle East                    Asia            1248700   
24    Tbilisi                   Georgia                                  Tbilisi              Middle East                    Asia            1235200   
25    Beirut                    Lebanon                                  Beirut               Middle East                    Asia            1100000   
26    Amman                     Jordan                                   Amman                Middle East                    Asia            1000000   
27    Ulan Bator                Mongolia                                 Ulaanbaatar          Eastern Asia                   Asia            773700    
28    Colombo                   Sri Lanka                                Western              Southern and Central Asia      Asia            645000    
29    Jerusalem                 Israel                                   Jerusalem            Middle East                    Asia            633700    
30    Kathmandu                 Nepal                                    Central              Southern and Central Asia      Asia            591835    
31    Bishkek                   Kyrgyzstan                               Bishkek shaary       Southern and Central Asia      Asia            589400    
32    Phnom Penh                Cambodia                                 Phnom Penh           Southeast Asia                 Asia            570155    
33    Ashgabat                  Turkmenistan                             Ahal                 Southern and Central Asia      Asia            540600    
34    Vientiane                 Laos                                     Viangchan            Southeast Asia                 Asia            531800    
35    Islamabad                 Pakistan                                 Islamabad            Southern and Central Asia      Asia            524500    
36    Dushanbe                  Tajikistan                               Karotegin            Southern and Central Asia      Asia            524000    
37    Sanaa                     Yemen                                    Sanaa                Middle East                    Asia            503600    
38    Macao                     Macao                                    Macau                Eastern Asia                   Asia            437500    
39    Abu Dhabi                 United Arab Emirates                     Abu Dhabi            Middle East                    Asia            398695    
40    Doha                      Qatar                                    Doha                 Middle East                    Asia            355000    
41    Gaza                      Palestine                                Gaza                 Middle East                    Asia            353632    
42    Astana                    Kazakstan                                Astana               Southern and Central Asia      Asia            311200    
43    New Delhi                 India                                    Delhi                Southern and Central Asia      Asia            301297    
